TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,1,00:00,,,,,,,,,,
1,1,00:10,6.17,-3.99,30.73,41.8,25.92,1.0,1.0,1.0,-0.25,494.66
1,1,00:20,6.27,-2.18,30.6,41.63,20.91,1.0,1.0,1.0,-0.24,509.76
1,1,00:30,6.42,-0.73,30.52,41.52,20.91,1.0,1.0,1.0,-0.26,542.53
1,1,00:40,6.25,0.89,30.49,41.38,20.91,1.0,1.0,1.0,-0.23,509.36
1,1,00:50,6.1,-1.03,30.47,41.22,20.91,1.0,1.0,1.0,-0.27,482.21
1,1,01:00,6.77,1.07,30.31,41.19,20.91,1.0,1.0,1.0,-0.23,584.75
1,1,01:10,6.7,-2.8,30.24,41.0,20.91,1.0,1.0,1.0,-0.23,557.98
1,1,01:20,6.44,-3.46,30.13,40.91,20.91,1.0,1.0,1.0,-0.21,503.94
1,1,01:30,6.25,-3.15,29.97,40.72,20.91,1.0,1.0,1.0,-0.26,463.37
1,1,01:40,6.87,-4.58,29.87,40.7,20.91,1.0,1.0,1.0,-0.25,577.47
1,1,01:50,6.6,-2.17,29.75,40.62,16.87,1.0,1.0,1.0,-0.25,538.85
1,1,02:00,6.71,-1.42,29.68,40.47,13.32,1.0,1.0,1.0,-0.26,559.37
1,1,02:10,6.86,-3.85,29.61,40.44,13.32,1.0,1.0,1.0,-0.23,585.51
1,1,02:20,6.88,-1.31,29.68,40.49,13.32,1.0,1.0,1.0,-0.26,608.83
1,1,02:30,7.1,-0.57,29.7,40.44,13.32,1.0,1.0,1.0,-0.28,675.43
1,1,02:40,7.16,-2.52,29.7,40.4,7.92,1.0,1.0,1.0,-0.25,716.68
1,1,02:50,6.8,-3.16,29.7,40.48,2.87,1.0,1.0,1.0,-0.3,629.83
1,1,03:00,6.85,3.03,29.7,40.53,-1.86,1.0,1.0,1.0,-0.26,651.13
1,1,03:10,6.85,-0.64,29.75,40.6,2.66,1.0,1.0,1.0,-0.27,677.56
1,1,03:20,6.57,-3.02,29.89,40.76,5.73,1.0,1.0,1.0,-0.27,619.05
1,1,03:30,6.36,-1.6,29.83,40.86,5.73,1.0,1.0,1.0,-0.31,576.73
1,1,03:40,6.88,-1.41,29.79,40.83,1.42,1.0,1.0,1.0,-0.28,665.23
1,1,03:50,7.32,-0.7,29.79,40.93,-1.86,1.0,1.0,1.0,-0.26,761.74
1,1,04:00,7.92,-1.04,29.81,40.8,-7.79,1.0,1.0,1.0,-0.25,898.34
1,1,04:10,7.73,2.44,29.8,40.82,-9.46,1.0,1.0,1.0,-0.32,867.22
1,1,04:20,8.46,2.76,29.91,40.86,-7.77,1.0,1.0,1.0,-0.26,1048.81
1,1,04:30,8.81,0.0,30.03,41.02,-1.85,1.0,1.0,1.0,-0.27,1137.1
1,1,04:40,9.23,-2.7,30.1,41.19,-1.83,1.0,1.0,1.0,-0.17,1207.96
1,1,04:50,9.45,-4.56,30.09,41.17,-1.83,1.0,1.0,1.0,-0.3,1239.41
1,1,05:00,9.4,-3.15,30.19,41.29,-1.83,1.0,1.0,1.0,-0.22,1179.6
1,1,05:10,9.5,-3.01,30.2,41.52,-1.83,1.0,1.0,1.0,-0.27,1183.42
1,1,05:20,8.93,-4.44,30.2,41.64,-1.83,1.0,1.0,1.0,-0.25,1036.78
1,1,05:30,8.09,-1.54,30.2,41.82,-1.83,1.0,1.0,1.0,-0.23,848.96
1,1,05:40,7.77,-2.17,30.14,41.9,-1.83,1.0,1.0,1.0,-0.28,748.75
1,1,05:50,7.99,-1.97,30.09,41.93,-7.4,1.0,1.0,1.0,-0.27,809.36
1,1,06:00,8.01,0.15,30.1,41.95,-9.42,1.0,1.0,1.0,-0.21,821.64
1,1,06:10,8.06,-3.77,30.06,41.87,-12.16,1.0,1.0,1.0,-0.22,816.59
1,1,06:20,9.11,-3.31,29.82,41.73,-21.32,1.0,1.0,1.0,-0.24,1118.95
1,1,06:30,10.96,-0.38,29.51,41.55,-30.46,1.01,1.01,1.01,-0.22,1476.3
1,1,06:40,12.81,-2.17,29.44,41.51,-23.73,1.07,1.07,1.07,-0.26,1539.55
1,1,06:50,13.43,-0.49,29.43,41.35,-23.73,1.09,1.09,1.09,-0.17,1550.02
1,1,07:00,12.83,-3.44,29.34,41.29,-23.73,1.07,1.07,1.07,-0.24,1550.1
1,1,07:10,12.65,-1.91,29.22,41.31,-23.73,1.07,1.07,1.07,-0.32,1549.86
1,1,07:20,12.52,0.99,29.24,41.53,-23.73,1.06,1.06,1.06,-0.26,1550.15
1,1,07:30,13.25,0.45,29.33,41.71,-23.73,1.08,1.08,1.08,-0.21,1549.96
1,1,07:40,13.48,-0.12,29.17,41.84,-23.73,1.08,1.08,1.08,-0.2,1549.88
1,1,07:50,13.04,-0.37,29.08,41.86,-23.73,1.07,1.07,1.07,-0.19,1549.55
1,1,08:00,12.23,-0.83,29.08,41.9,-23.73,1.07,1.07,1.07,-0.21,1549.53
1,1,08:10,11.58,-3.32,29.01,42.01,-23.7,1.06,1.06,1.06,-0.25,1549.71
1,1,08:20,11.21,-1.38,29.17,42.24,-28.84,1.04,1.04,1.04,-0.25,1534.77
1,1,08:30,10.84,0.06,29.46,42.43,-31.39,1.03,1.03,1.03,-0.25,1508.2
1,1,08:40,11.03,2.03,29.82,42.77,-31.39,1.03,1.03,1.03,-66.01,1517.76
1,1,08:50,12.23,2.65,30.22,43.1,-27.37,1.07,1.07,1.07,-61.25,1549.79
1,1,09:00,12.19,-1.5,30.52,43.23,-23.69,1.07,1.07,1.07,-0.26,1529.05
1,1,09:10,13.51,-2.8,30.87,43.55,-23.69,1.1,1.1,1.1,-0.27,1549.62
1,1,09:20,11.93,-2.88,31.1,43.63,-23.69,1.06,1.06,1.06,-0.28,1546.67
1,1,09:30,11.31,-0.08,31.44,43.92,-23.69,1.04,1.04,1.04,-0.2,1508.7
1,1,09:40,11.56,0.05,31.68,44.44,-23.69,1.05,1.05,1.05,-0.26,1543.42
1,1,09:50,11.43,0.45,31.94,44.69,-18.9,1.04,1.04,1.04,-0.27,1510.53
1,1,10:00,11.29,2.88,32.11,44.96,-21.49,1.04,1.04,1.04,-0.29,1524.19
1,1,10:10,11.12,0.52,32.34,45.13,-17.47,1.02,1.02,1.02,-0.24,1518.38
1,1,10:20,10.45,-1.32,32.55,45.33,-18.44,1.01,1.01,1.01,-0.21,1442.49
1,1,10:30,9.61,1.11,32.81,45.42,-17.15,1.0,1.0,1.0,-0.23,1292.15
1,1,10:40,9.17,1.62,33.04,45.61,-12.52,1.0,1.0,1.0,-0.19,1225.7
1,1,10:50,7.96,0.09,33.27,45.84,-6.19,1.0,1.0,1.0,-0.22,969.62
1,1,11:00,8.71,0.17,33.57,46.09,14.61,1.0,1.0,1.0,-0.18,1043.58
1,1,11:10,8.22,0.27,33.67,46.09,12.05,1.0,1.0,1.0,-0.24,945.49
1,1,11:20,8.08,2.48,33.9,46.22,24.38,1.0,1.0,1.0,-0.19,906.12
1,1,11:30,7.45,-1.53,34.14,46.33,30.31,1.0,1.0,1.0,-0.22,782.76
1,1,11:40,6.91,5.91,34.38,46.42,32.56,1.11,1.11,1.11,-0.02,628.13
1,1,11:50,7.25,-0.18,34.52,46.45,60.11,1.0,1.0,1.0,-0.21,759.47
1,1,12:00,7.65,0.3,34.65,46.35,39.77,1.0,1.0,1.0,-0.27,846.32
1,1,12:10,7.66,-0.72,34.8,46.39,45.1,1.0,1.0,1.0,-0.21,818.71
1,1,12:20,7.55,-0.29,34.94,46.33,34.27,1.0,1.0,1.0,-0.24,779.87
1,1,12:30,6.19,2.87,35.12,46.19,36.55,1.0,1.0,1.0,-0.21,576.74
1,1,12:40,7.55,-1.33,35.33,46.47,57.58,1.0,1.0,1.0,-0.23,810.4
1,1,12:50,6.99,-0.41,35.46,46.45,47.39,1.0,1.0,1.0,-0.22,700.03
1,1,13:00,6.32,2.57,35.59,46.49,66.73,1.0,1.0,0.99,-0.2,571.61
1,1,13:10,5.83,-3.31,35.63,46.42,50.64,0.99,0.99,0.99,-0.27,444.5
1,1,13:20,6.32,-2.81,35.87,46.49,47.97,1.12,1.12,1.12,0.01,457.33
1,1,13:30,5.9,2.8,36.09,46.63,56.39,1.0,1.0,1.0,-0.2,474.09
1,1,13:40,5.61,-12.36,36.42,46.98,51.68,1.67,1.67,1.67,-0.25,52.54
1,1,13:50,5.72,0.08,37.24,48.74,67.22,1.86,1.86,1.86,-0.3,-0.31
1,1,14:00,5.72,-43.83,37.59,49.22,81.45,1.9,1.9,1.9,-0.3,-0.3
1,1,14:10,3.97,-62.36,38.09,49.56,81.45,1.9,1.9,1.9,-0.3,-0.3
1,1,14:20,3.25,-22.98,38.58,49.93,81.45,1.9,1.9,1.9,-0.3,-0.3
1,1,14:30,6.34,-29.7,38.96,50.13,81.45,1.9,1.9,1.9,-0.3,-0.3
1,1,14:40,4.82,-25.09,39.18,50.15,81.45,1.9,1.9,1.9,-0.3,-0.3
1,1,14:50,3.77,-30.2,39.22,50.17,81.45,1.9,1.9,1.9,-0.3,-0.3
1,1,15:00,5.83,-42.78,39.33,50.18,81.45,1.9,1.9,1.9,-0.3,-0.3
1,1,15:10,0.0,-9.33,-254.99,-254.99,76.03,0.93,0.93,0.93,0.0,0.0
1,1,15:20,0.0,-9.44,-258.02,-258.02,76.94,0.94,0.94,0.94,0.0,0.0
1,1,15:30,4.82,-40.94,31.92,39.99,81.45,1.88,1.88,1.88,0.0,0.0
1,1,15:40,2.69,-25.19,-13.29,-6.92,81.45,1.75,1.75,1.75,0.0,0.0
1,1,15:50,6.19,-1.13,39.76,46.53,81.45,1.9,1.9,1.9,0.0,0.0
1,1,16:00,4.17,-15.94,-14.03,-8.96,79.33,1.75,1.75,1.75,0.0,0.0
1,1,16:10,4.2,-42.64,39.81,46.73,43.89,1.9,1.9,1.9,0.0,0.0
1,1,16:20,4.89,9.27,39.62,47.39,26.82,1.07,1.07,1.07,-0.04,264.2
1,1,16:30,4.28,1.45,38.49,46.67,63.55,1.0,1.0,1.0,-0.22,305.86
1,1,16:40,5.34,-8.48,38.25,46.45,47.41,0.99,0.99,0.99,-0.22,326.5
1,1,16:50,2.19,0.45,38.09,46.28,9.03,0.99,0.99,0.99,-0.19,55.45
1,1,17:00,4.03,30.12,38.46,47.31,52.05,1.73,1.73,1.73,0.14,1.78
1,1,17:10,4.24,-9.59,38.5,47.67,61.25,0.99,0.99,0.99,-0.2,182.95
1,1,17:20,3.18,5.89,38.07,46.61,45.3,0.99,0.99,0.99,-0.23,118.31
1,1,17:30,4.13,-2.18,37.88,46.33,81.45,0.99,0.99,0.99,-0.21,171.35
1,1,17:40,3.82,4.76,37.55,46.05,69.99,0.99,0.99,0.99,-0.24,203.6
1,1,17:50,3.3,-4.46,37.31,45.79,69.1,0.99,0.99,0.99,-0.19,135.88
1,1,18:00,2.67,2.24,37.36,45.77,82.54,1.01,1.01,1.01,-0.05,69.04
1,1,18:10,4.48,-1.19,37.41,45.68,80.04,0.99,0.99,0.99,-0.25,237.39
1,1,18:20,4.13,0.47,37.5,45.42,92.21,0.99,0.99,0.99,-0.26,227.5
1,1,18:30,3.75,4.28,37.68,45.33,95.67,0.99,0.99,0.99,-0.24,183.49
1,1,18:40,3.88,-7.15,37.71,45.34,102.59,0.99,0.99,0.99,-0.23,158.83
1,1,18:50,3.83,1.59,37.7,45.27,85.5,0.99,0.99,0.99,-0.23,186.83
1,1,19:00,4.85,0.15,37.48,45.22,75.65,0.99,0.99,0.99,-0.27,274.87
1,1,19:10,3.6,3.22,37.3,45.08,82.32,0.99,0.99,0.99,-0.23,172.93
1,1,19:20,4.4,1.22,37.27,44.98,83.27,0.99,0.99,0.99,-0.26,223.51
1,1,19:30,4.81,-0.95,37.03,44.9,64.06,0.99,0.99,0.99,-0.22,268.56
1,1,19:40,5.43,0.28,36.76,44.77,61.94,0.99,0.99,0.99,-0.25,356.78
1,1,19:50,5.98,-2.4,36.53,44.72,63.29,0.99,0.99,0.99,-0.26,412.54
1,1,20:00,10.89,-4.38,36.0,44.83,29.06,1.03,1.03,1.03,-0.29,1216.61
1,1,20:10,12.12,1.22,34.81,44.27,5.22,1.05,1.05,1.05,-0.19,1510.1
1,1,20:20,10.93,2.16,34.27,43.96,6.99,1.02,1.02,1.02,-0.27,1480.48
1,1,20:30,11.77,-0.38,33.93,43.98,12.88,1.05,1.05,1.05,-0.25,1516.21
1,1,20:40,10.75,-3.54,33.69,44.09,12.88,1.02,1.02,1.02,-0.27,1434.8
1,1,20:50,11.22,-4.9,33.42,44.25,12.12,1.03,1.03,1.03,-0.25,1502.37
1,1,21:00,10.68,1.86,33.19,44.39,8.28,1.01,1.01,1.01,-0.19,1445.32
1,1,21:10,9.41,-4.79,32.89,44.44,10.71,1.0,1.0,1.0,-0.25,1226.43
1,1,21:20,11.45,0.32,32.36,44.5,-6.69,1.05,1.05,1.05,-0.28,1450.41
1,1,21:30,12.24,0.84,31.76,44.12,-5.22,1.07,1.07,1.07,-0.21,1544.78
1,1,21:40,12.45,-1.2,31.19,43.74,-5.2,1.07,1.07,1.07,-0.22,1546.57
1,1,21:50,12.77,-2.15,30.65,43.41,-5.19,1.08,1.08,1.08,-0.2,1549.5
1,1,22:00,12.89,-7.11,30.21,43.03,-5.19,1.08,1.08,1.08,-0.25,1549.71
1,1,22:10,13.49,-7.73,29.85,42.62,-5.19,1.1,1.1,1.1,-0.18,1549.84
1,1,22:20,13.64,-7.77,29.6,42.27,-5.19,1.1,1.1,1.1,-0.24,1549.39
1,1,22:30,12.73,-5.56,29.39,41.99,-9.36,1.08,1.08,1.08,-0.24,1549.29
1,1,22:40,10.99,-1.25,29.15,42.15,-15.86,1.03,1.03,1.03,-0.23,1528.07
1,1,22:50,10.14,-3.08,28.96,42.39,-15.86,1.01,1.01,1.01,-0.18,1421.04
1,1,23:00,10.17,-0.89,28.86,42.55,-15.86,1.0,1.0,1.0,-0.22,1430.89
1,1,23:10,9.95,0.49,28.71,42.53,-9.44,1.02,1.02,1.02,-0.29,1330.24
1,1,23:20,12.2,0.7,28.59,42.56,-8.17,1.08,1.08,1.08,-0.23,1550.74
1,1,23:30,12.66,1.09,28.54,42.23,-8.17,1.08,1.08,1.08,-0.21,1549.66
1,1,23:40,12.58,1.7,28.48,42.09,-8.17,1.08,1.08,1.08,-0.2,1549.64
1,1,23:50,9.95,-0.42,28.31,42.09,-8.17,1.01,1.01,1.01,-0.2,1361.95
1,2,00:00,10.64,-1.59,28.1,42.17,-9.66,1.01,1.01,1.01,-0.27,1468.21
1,2,00:10,7.0,0.84,27.87,42.05,-2.77,1.0,1.0,1.0,-0.16,718.12
1,2,00:20,5.87,-2.61,27.38,41.73,-9.17,0.99,0.99,0.99,-0.27,442.15
1,2,00:30,4.0,3.26,27.13,41.76,-8.2,0.99,0.99,0.99,-0.21,196.04
1,2,00:40,4.03,2.88,26.99,41.66,2.82,0.99,0.99,0.99,-0.23,234.35
1,2,00:50,3.46,1.32,26.8,41.36,38.08,0.99,0.99,0.99,-0.23,124.94
1,2,01:00,3.96,-0.03,26.52,40.87,22.25,0.99,0.99,0.99,-0.24,179.06
1,2,01:10,4.63,-2.5,26.25,39.97,38.62,0.99,0.99,0.99,-0.24,253.25
1,2,01:20,5.4,-0.77,26.01,39.09,46.95,0.99,0.99,0.99,-0.25,347.0
1,2,01:30,4.73,3.92,25.84,38.32,40.33,0.99,0.99,0.99,-0.22,249.3
1,2,01:40,4.43,0.28,25.49,37.69,47.41,0.99,0.99,0.99,-0.22,205.12
1,2,01:50,4.85,3.58,25.27,37.15,43.08,0.99,0.99,0.99,-0.24,254.04
1,2,02:00,5.14,-0.44,24.95,36.77,51.45,1.0,1.0,1.0,-0.21,323.51
1,2,02:10,3.7,0.27,24.87,36.4,41.87,0.99,0.99,0.99,-0.25,141.3
1,2,02:20,4.87,0.79,24.68,36.02,42.32,0.99,0.99,0.99,-0.24,264.43
1,2,02:30,5.66,3.18,24.5,35.54,42.99,0.99,0.99,0.99,-0.26,376.04
1,2,02:40,5.52,-1.1,24.29,35.45,39.69,0.99,0.99,0.99,-0.24,351.48
1,2,02:50,5.74,-0.05,24.15,35.12,39.86,0.99,0.99,0.99,-0.26,399.43
1,2,03:00,5.69,1.58,23.96,34.91,43.96,0.99,0.99,0.99,-0.25,406.87
1,2,03:10,5.62,1.72,23.75,34.89,47.59,0.99,0.99,0.99,-0.23,367.38
1,2,03:20,5.9,0.23,23.47,34.34,51.44,0.99,0.99,0.99,-0.28,376.7
1,2,03:30,5.86,4.56,23.18,34.27,60.38,0.99,0.99,0.99,-0.25,388.46
1,2,03:40,4.17,0.2,23.02,33.74,73.79,0.99,0.99,0.99,-0.24,221.39
1,2,03:50,8.79,-2.61,22.9,33.96,57.58,1.0,1.0,1.0,-0.33,1014.57
1,2,04:00,9.46,1.58,22.9,34.22,54.6,1.0,1.0,1.0,-0.22,1178.79
1,2,04:10,8.85,0.74,22.9,34.38,57.05,1.0,1.0,1.0,-0.26,1001.72
1,2,04:20,6.87,-0.66,22.79,34.54,58.68,1.0,1.0,1.0,-0.26,550.82
1,2,04:30,5.7,-4.38,22.57,34.18,60.2,0.99,0.99,0.99,-0.29,364.21
1,2,04:40,6.96,-0.73,22.36,34.15,53.52,1.0,1.0,1.0,-0.31,607.99
1,2,04:50,7.08,-2.9,22.24,34.46,53.05,1.0,1.0,1.0,-0.29,628.92
1,2,05:00,7.31,0.78,22.17,34.38,45.93,1.0,1.0,1.0,-0.28,690.13
1,2,05:10,8.62,-2.88,22.1,34.2,53.38,1.0,1.0,1.0,-0.32,984.27
1,2,05:20,9.29,-2.4,22.04,34.0,47.76,1.0,1.0,1.0,-0.25,1141.81
1,2,05:30,8.16,-1.19,21.95,34.09,45.93,1.0,1.0,1.0,-0.19,909.28
1,2,05:40,7.11,-2.4,21.83,34.16,45.93,1.0,1.0,1.0,-0.34,665.95
1,2,05:50,8.92,-0.09,21.8,34.25,49.28,1.0,1.0,1.0,-0.35,1101.66
1,2,06:00,9.43,-3.2,21.77,34.21,53.52,1.0,1.0,1.0,-0.31,1221.32
1,2,06:10,8.37,-3.61,21.65,34.15,53.52,1.0,1.0,1.0,-0.26,991.42
1,2,06:20,8.09,1.47,21.52,34.29,53.52,1.0,1.0,1.0,-0.21,890.14
1,2,06:30,7.13,-1.78,21.49,34.31,53.52,1.0,1.0,1.0,-0.26,669.19
1,2,06:40,6.55,-2.64,21.4,34.29,53.52,1.0,1.0,1.0,-0.25,544.97
1,2,06:50,6.53,-3.3,21.3,33.97,48.36,1.0,1.0,1.0,-0.27,528.78
1,2,07:00,6.41,-2.52,21.18,33.9,40.26,1.0,1.0,1.0,-0.24,510.23
1,2,07:10,6.87,3.32,21.14,33.7,38.37,1.0,1.0,1.0,-0.27,575.25
1,2,07:20,7.36,2.44,21.1,33.61,38.37,1.0,1.0,1.0,-0.26,668.75
1,2,07:30,6.99,-1.8,21.1,33.41,38.36,1.0,1.0,1.0,-0.27,599.83
1,2,07:40,7.0,2.16,21.12,33.4,38.34,1.0,1.0,1.0,-0.29,628.76
1,2,07:50,7.02,-0.96,21.2,33.32,45.79,1.0,1.0,1.0,-0.26,607.04
1,2,08:00,6.26,-4.24,21.2,33.04,45.93,1.0,1.0,1.0,-0.26,459.41
1,2,08:10,6.17,-0.52,21.2,33.02,45.93,1.0,1.0,1.0,-0.26,479.75
1,2,08:20,6.74,-2.08,21.2,32.91,43.31,1.0,1.0,1.0,-0.3,588.23
1,2,08:30,6.25,1.47,21.2,32.89,38.37,1.0,1.0,1.0,-0.26,508.4
1,2,08:40,5.67,0.66,21.27,32.5,42.65,0.99,0.99,0.99,-0.29,415.24
1,2,08:50,6.25,-1.86,21.38,32.77,45.93,1.0,1.0,1.0,-0.24,520.28
1,2,09:00,7.29,-0.91,21.58,32.91,45.93,1.0,1.0,1.0,-0.26,739.19
1,2,09:10,7.45,1.63,21.84,33.26,44.16,1.0,1.0,1.0,-0.25,780.93
1,2,09:20,6.02,0.02,22.19,33.48,47.31,1.0,1.0,1.0,-0.23,503.57
1,2,09:30,5.72,0.39,22.49,33.55,51.96,0.99,0.99,0.99,-0.26,413.41
1,2,09:40,6.92,1.34,22.84,33.8,53.52,1.0,1.0,1.0,-0.25,681.11
1,2,09:50,6.63,1.91,23.24,34.13,54.09,1.0,1.0,1.0,-0.25,585.26
1,2,10:00,6.58,0.93,23.7,34.45,65.81,1.0,1.0,1.0,-0.24,586.23
1,2,10:10,6.32,-0.97,24.16,34.81,58.67,1.0,1.0,1.0,-0.22,544.03
1,2,10:20,6.68,0.54,24.58,35.07,56.54,1.0,1.0,1.0,-0.29,593.99
1,2,10:30,6.34,0.16,24.93,35.35,61.4,1.0,1.0,1.0,-0.24,525.69
1,2,10:40,6.61,0.05,25.21,35.55,60.75,1.0,1.0,1.0,-0.26,591.37
1,2,10:50,5.84,-2.61,25.66,35.82,53.14,0.99,0.99,0.99,-0.26,444.78
1,2,11:00,5.69,0.65,26.16,36.12,36.34,0.99,0.99,0.99,-0.26,403.78
1,2,11:10,6.65,-1.11,26.53,36.41,42.34,1.0,1.0,1.0,-0.25,610.56
1,2,11:20,6.89,-0.46,26.86,36.7,42.26,1.0,1.0,1.0,-0.24,679.71
1,2,11:30,6.57,-1.69,27.04,36.83,46.13,1.0,1.0,1.0,-0.25,595.79
1,2,11:40,4.78,-2.81,27.28,37.04,33.08,0.99,0.99,0.99,-0.25,324.17
1,2,11:50,6.11,4.98,27.81,37.41,47.49,0.99,0.99,0.99,-0.28,521.14
1,2,12:00,6.99,2.71,28.0,37.8,60.02,1.0,1.0,1.0,-0.23,695.46
1,2,12:10,6.62,-1.53,28.1,37.88,44.28,1.0,1.0,1.0,-0.27,626.66
1,2,12:20,5.15,0.41,28.4,38.06,33.17,0.99,0.99,0.99,-0.23,336.53
